Severity,Scenario,Fold,Precision,Recall,F1-Score,ROC-AUC,False Positive Rate,TN,FP,FN,TP
Severe,Baseline,1,0.7894736842105263,1.0,0.8823529411764706,0.8400000000000001,0.26666666666666666,11,4,0,15
Severe,Augmented,1,1.0,1.0,1.0,1.0,0.0,15,0,0,15
Severe,Baseline,2,0.9285714285714286,0.8666666666666667,0.896551724137931,0.9822222222222222,0.06666666666666667,14,1,2,13
Severe,Augmented,2,1.0,1.0,1.0,1.0,0.0,15,0,0,15
Severe,Baseline,3,1.0,1.0,1.0,1.0,0.0,15,0,0,15
Severe,Augmented,3,1.0,1.0,1.0,1.0,0.0,15,0,0,15
Incipient,Baseline,1,0.7777777777777778,0.9333333333333333,0.8484848484848485,0.8222222222222222,0.26666666666666666,11,4,1,14
Incipient,Augmented,1,1.0,1.0,1.0,1.0,0.0,15,0,0,15
Incipient,Baseline,2,0.8333333333333334,0.3333333333333333,0.47619047619047616,0.9155555555555556,0.06666666666666667,14,1,10,5
Incipient,Augmented,2,1.0,1.0,1.0,1.0,0.0,15,0,0,15
Incipient,Baseline,3,1.0,0.8666666666666667,0.9285714285714286,1.0,0.0,15,0,2,13
Incipient,Augmented,3,1.0,1.0,1.0,1.0,0.0,15,0,0,15
